Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
entity.FRMDwelling, , , , , , , , , , , , , , , 
Dwelling:(1), , , , , , , , , , , , , , , 
Coverage C - Personal Property - Other, , , , , , , , , , , , , , , 
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , 
, Coverage_Other (1), , , , , , , , , , , , , , 
, PolicySizeFactor, , , , , , , , , 1.0, ←, , 1, , 1
, ContentOnlyFactor, , , , , , , , , 1.0, ←, , 1, , 1
, RateFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0000000000, ←, , table:Acreage.Other, , "(2, <<5,5>>, Cov A) = 1"
, RateFactor, , , , , , , , , 1.0000000000000000000000000000000000000000, ←, , table:Number Of Families.Other, , "(2, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Other, , "(2, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Pool.Other, , "(2, false, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Other, , "(2, false) = 1"
, PolicySizeFactor, , , , , , , , , 24.7220000000, ←, , table:PolicySizeRelativity.Other, , "(2, 1000000, Cov A) = 24.722"
, ContentOnlyFactor, , , , , , , , , 1.00000000000, ←, , ContentOnlyFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Utility.Other, , "(2, Heating, <<41,41>>, <<41,41>>) = 1"
, IFactor, , , , , , , , , 0.0, ←, , 0, , 0
, JFactor, , , , , , , , , 0.0, ←, , 0, , 0
, KFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MFactor, , , , , , , , , 0.0, ←, , 0, , 0
, NFactor, , , , , , , , , 0.0, ←, , 0, , 0
, OFactor, , , , , , , , , 0.0, ←, , 0, , 0
, QFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartCameraFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartLightFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartSmokeAlarmFactor, , , , , , , , , 0.0, ←, , 0, , 0
, WaterLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, AutTempDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GasLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GeneratorFactor, , , , , , , , , 0.0, ←, , 0, , 0
, ADFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CRFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MaxCreditPerPeril, , , , , , , , , 0.2000000000, ←, , table:ProtectiveDevices.Other, , "(2, Max, Cov A) = 0.2"
, NFactor, , , , , , , , , 0E-10, ←, , table:ProtectiveDevices.Other, , "(2, N, Cov A) = 0"
, AllDiscount, , , , , , , , , 0E-10, ←, , IFactor, , 0
, , CONTINUE, , , , , , , , , +, , JFactor, , 0
, , CONTINUE, , , , , , , , , +, , KFactor, , 0
, , CONTINUE, , , , , , , , , +, , MFactor, , 0
, , CONTINUE, , , , , , , , , +, , NFactor, , 0
, , CONTINUE, , , , , , , , , +, , OFactor, , 0
, , CONTINUE, , , , , , , , , +, , QFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, , 0
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, , 0
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , ADFactor, , 0
, , CONTINUE, , , , , , , , , +, , CFactor, , 0
, , CONTINUE, , , , , , , , , +, , CRFactor, , 0
, FinalFactor, , , , , , , , , 1.0000000000, ←, , 1, , 1
, , CONTINUE, , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0.2) = 0"
, BaseRate, , , , , , , , , 421.150707559134000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Other, , "(2, Cov A) = 16.87"
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Other, , "(2, Cov A, 46310) = 0.966"
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Other, , (false) = 1
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Other, , "(46310, <<999.990,999.990>>) = 1"
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, , 1
