Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
entity.FRMDwelling, , , , , , , , , , , , , , , 
Dwelling:(5), , , , , , , , , , , , , , , 
Coverage A - Dwelling - Fire, , , , , , , , , , , , , , , 
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , 
, Coverage_Fire (1), , , , , , , , , , , , , , 
, PolicySizeFactor, , , , , , , , , 1.0, ←, , 1, , 1
, ContentOnlyFactor, , , , , , , , , 1.0, ←, , 1, , 1
, RateFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0000000000, ←, , table:Acreage.Fire, , "(1, <<8000,8000>>, Cov A) = 1"
, RateFactor, , , , , , , , , 1.0000000000000000000000000000000000000000, ←, , table:Number Of Families.Fire, , "(1, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Fire, , "(1, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Pool.Fire, , "(1, false, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Fire, , "(1, true) = 1"
, PolicySizeFactor, , , , , , , , , 3.0480000000, ←, , table:PolicySizeRelativity.Fire, , "(1, 1000000, Cov A) = 3.048"
, ContentOnlyFactor, , , , , , , , , 1.135148616000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:Sq Feet Stories.Fire, , "(<<1650,1650>>, Cov A, 1) = 1.064"
, , CONTINUE, , , , , , , , , ×, , table:Repl Cost Sq Ft.Fire, , "(<<606,606>>) = 1.101"
, , CONTINUE, , , , , , , , , ×, , table:Bathrooms.Fire, , "(1, 1) = 0.969"
, , CONTINUE, , , , , , , , , ×, , table:Garage Factor.Fire, , (BuiltIn-2_Ext) = 1
, , CONTINUE, , , , , , , , , ×, , table:Perils.Fire, , "(1, Special, Cov A) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Utility.Fire, , "(1, Heating, <<19,19>>, <<19,19>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Utility.Fire, , "(1, Plumbing, <<19,19>>, <<19,19>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Utility.Fire, , "(1, Electrical, <<19,19>>, <<19,19>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Wind Mitigation.Fire, , "(Shed, null, <<2000,2000>>, Allen) = 1"
, IFactor, , , , , , , , , 0.0, ←, , 0, , 0
, JFactor, , , , , , , , , 0.0, ←, , 0, , 0
, KFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MFactor, , , , , , , , , 0.0, ←, , 0, , 0
, NFactor, , , , , , , , , 0.0, ←, , 0, , 0
, OFactor, , , , , , , , , 0.0, ←, , 0, , 0
, QFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartCameraFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartLightFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartSmokeAlarmFactor, , , , , , , , , 0.0, ←, , 0, , 0
, WaterLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GasLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GeneratorFactor, , , , , , , , , 0.0, ←, , 0, , 0
, ADFactor, , , , , , , , , 0.0, ←, , 0, , 0
, AutTempDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CRFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MaxCreditPerPeril, , , , , , , , , 0.2000000000, ←, , table:ProtectiveDevices.Fire, , "(1, Max, Cov A) = 0.2"
, AllDiscount, , , , , , , , , 0.0, ←, , IFactor, , 0
, , CONTINUE, , , , , , , , , +, , JFactor, , 0
, , CONTINUE, , , , , , , , , +, , KFactor, , 0
, , CONTINUE, , , , , , , , , +, , MFactor, , 0
, , CONTINUE, , , , , , , , , +, , NFactor, , 0
, , CONTINUE, , , , , , , , , +, , OFactor, , 0
, , CONTINUE, , , , , , , , , +, , QFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, , 0
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, , 0
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , ADFactor, , 0
